Disease,Symptoms
Churg-Strauss syndrome,
Alcoholic hepatitis,"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes, called jaundice. The yellowing of the skin might be harder to see on Black and brown people. Other symptoms include: Loss of appetite. Nausea and vomiting. Belly tenderness. Fever, often low grade. Tiredness and weakness. People with alcoholic hepatitis tend to be malnourished. Drinking large amounts of alcohol keeps people from being hungry. And heavy drinkers get most of their calories from alcohol. Other symptoms that happen with severe alcoholic hepatitis include: Fluid buildup in the belly, called ascites. Being confused and acting oddly due to a buildup of toxins. The healthy liver breaks these toxins down and gets rid of them. Kidney and liver failure. When to see a doctor Alcoholic hepatitis is a serious, often deadly disease. See a healthcare professional if you: Have symptoms of alcoholic hepatitis. Can't control your drinking. Want help cutting back on your drinking. Request an appointment"
Alcohol poisoning,"Alcohol poisoning symptoms include: Confusion. Vomiting. Seizures. Slow breathing, which is fewer than eight breaths a minute. Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths. Skin that looks blue, gray or pale. Low body temperature, also known as hypothermia. Trouble staying conscious or awake. When to see a doctor It's not necessary to have all the above symptoms before seeking medical help. A person with alcohol poisoning who has passed out or can't wake up could die. Alcohol poisoning is an emergency If you think that someone has alcohol poisoning, seek medical care right away. This is true even if you don't see the usual signs. Here's what to do: Call 911 or your local emergency number right away. Never assume the person will sleep off alcohol poisoning. Be prepared to give information. If you know the kind and amount of alcohol the person drank, and when, tell hospital or emergency staff. Don't leave an unconscious person alone. Because alcohol poisoning affects the way the gag reflex works, someone with alcohol poisoning may vomit and choke and not be able to breathe. While waiting for help, don't try to make the person vomit because that could cause choking. Help someone who is vomiting. Try to keep the person sitting up. If the person must lie down, turn the head to the side to help prevent choking. Try to keep the person awake. Don't be afraid to get help It can be hard to decide if you think someone is drunk enough to need medical help. But it's best to take action right away rather than be sorry later. You may worry about what will happen to you or a friend or family member, especially if underage. But the results of not getting help in time can be far more serious. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Alcohol intolerance,
Albinism,"Symptoms of albinism involve skin, hair and eye color, as well as vision. Skin The easiest form of albinism to see results in white hair and very light-colored skin compared with siblings or other blood relatives. But skin coloring, also called pigmentation, and hair color can range from white to brown. People of African descent who have albinism may have skin that is light brown or red brown and have freckles. For some people, skin color may be nearly the same as that of parents or siblings without albinism. With exposure to the sun, some people may develop: Freckles. Moles, with or without color, which are sometimes pink. Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez). Sunburn and no ability to tan. For some people with albinism, skin coloring never changes. For others, melanin production may begin or increase during childhood and the teen years, resulting in slight changes in color. Hair Hair color can range from very white to brown. People of African or Asian descent who have albinism may have hair color that's yellow, red or brown. Hair color also may darken by early adulthood. Or hair may stain from contact with minerals in water and the environment, making hair appear darker with age. Eye color Eyelashes and eyebrows are often pale. Eye color can range from very light blue to brown and may change with age. With albinism, the colored parts of the eyes, called the irises, usually don't have enough pigment. This allows light to shine through the irises and makes the eyes extremely sensitive to bright light. Because of this, very light-colored eyes may appear red in some lighting. Vision Vision problems are a key feature of all types of albinism. Eye problems may include: Rapid, back-and-forth movement of the eyes that can't be controlled, called nystagmus. An uncommon head position or head posture, such as tilting the head to try to reduce eye movements and see better. Eyes that can't look at the same direction at the same time or they appear to be crossed, a condition called strabismus. Problems seeing near objects or far objects, called farsightedness or nearsightedness. Extreme sensitivity to light, called photophobia. A difference in the curve of the front surface of the eye or the lens inside the eye, called astigmatism, which causes blurred vision. Differences in the development of the thin layer of tissue on the inside back wall of the eye, called the retina. This difference results in reduced vision. Nerve signals from the retina to the brain that don't follow the usual nerve pathways in the eye. This is called misrouting of the optic nerve. Poor depth perception, which means not being able to see things in three dimensions and judge how far away an object is. Legal blindness — vision less than 20/200 — or complete blindness. When to see a doctor At your child's birth, the health care provider may notice a lack of color in hair or skin that affects the eyelashes and eyebrows. The provider will likely order an eye exam and closely follow any changes in your child's skin color and vision. If you observe signs of albinism in your baby, talk to your health care provider. Contact your health care provider if your child with albinism experiences frequent nosebleeds, easy bruising or long-term infections. These symptoms may suggest rare but serious hereditary conditions that include albinism. Request an appointment"
Airplane ear,
Agoraphobia,"Typical agoraphobia symptoms include fear of: Leaving home alone. Crowds or waiting in line. Enclosed spaces, such as movie theaters, elevators or small stores. Open spaces, such as parking lots, bridges or malls. Using public transportation, such as a bus, plane or train. These situations cause anxiety because you fear you won't be able to escape or find help if you start to feel panicked. Or you may fear having other disabling or embarrassing symptoms, such as dizziness, fainting, falling or diarrhea. In addition: Your fear or anxiety is out of proportion to the actual danger of the situation. You avoid the situation, you need a companion to go with you, or you endure the situation but are extremely upset. You have major distress or problems with social situations, work or other areas in your life because of the fear, anxiety or avoidance. Your fear and avoidance usually lasts six months or longer. Panic disorder and agoraphobia Some people have panic disorder in addition to agoraphobia. Panic disorder is a type of anxiety disorder that includes panic attacks. A panic attack is a sudden feeling of extreme fear that reaches a peak within a few minutes and triggers a variety of intense physical symptoms. You might think that you're totally losing control, having a heart attack or even dying. Fear of another panic attack can lead to avoiding similar situations or the place where it happened in an attempt to prevent future panic attacks. Symptoms of a panic attack can include: Rapid heart rate. Trouble breathing or a feeling of choking. Chest pain or pressure. Lightheadedness or dizziness. Feeling shaky, numb or tingling. Sweating too much. Sudden flushing or chills. Upset stomach or diarrhea. Feeling a loss of control. Fear of dying. When to see a doctor Agoraphobia can severely limit your ability to socialize, work, attend important events and even manage the details of daily life, such as running errands. Don't let agoraphobia make your world smaller. Call your health care provider or a mental health professional if you have symptoms of agoraphobia or panic attacks. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Myelofibrosis,"Myelofibrosis usually develops slowly. In its very early stages, many people don't experience signs or symptoms. As disruption of normal blood cell production increases, signs and symptoms may include: Feeling tired, weak or short of breath, usually because of anemia Pain or fullness below your ribs on the left side, due to an enlarged spleen Easy bruising Easy bleeding Excessive sweating during sleep (night sweats) Fever Bone pain When to see a doctor Make an appointment with your doctor if you have any persistent signs and symptoms that worry you. Request an appointment"
Wet macular degeneration,"Wet macular degeneration symptoms usually appear suddenly and worsen quickly. They may include: Visual distortions, such as straight lines that seem to be bent. Reduced central vision in one or both eyes. The need for brighter light when reading or doing close-up work. Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater. Increased blurriness of printed words. Difficulty recognizing faces. A well-defined blurry spot or blind spot in the field of vision. Macular degeneration doesn't affect side vision, so it doesn't cause total blindness. When to see a doctor See your eye care professional if: You notice changes in your central vision. You lose the ability to see fine detail. These changes may be the first sign of macular degeneration, particularly if you're older than age 60. More Information Macular degeneration, wet care at Mayo Clinic What are the symptoms of wet age-related macular degeneration? Request an appointment"
Dry macular degeneration,"Dry macular degeneration symptoms usually develop gradually and without pain. They may include: Visual distortions, such as straight lines seeming bent. Reduced central vision in one or both eyes. The need for brighter light when reading or doing close-up work. Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater. Increased blurriness of printed words. Difficulty recognizing faces. A well-defined blurry spot or blind spot in the field of vision. Dry macular degeneration can affect one or both eyes. If only one eye is affected, you may not notice any changes in your vision. This is because your good eye may compensate for the affected eye. And the condition doesn't affect the side vision, so it does not cause total blindness. Dry macular degeneration is one of two types of age-related macular degeneration. It can progress to wet macular degeneration, which is when blood vessels grow and leak under the retina. The dry type is more common, but it usually progresses slowly over years. The wet type is more likely to cause a relatively sudden change in vision resulting in serious vision loss. When to see a doctor See your eye care professional if: You notice changes, such as distortion or blind spots, in your central vision. You lose the ability to see fine detail. These changes may be the first sign of macular degeneration, particularly if you're over age 60. Request an appointment"
Age spots (liver spots),
Adult Still disease,"Most people with adult Still disease have a combination of the following symptoms: Fever. Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer. Rash. A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs. Sore throat. This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender. Achy and swollen joints. Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks. Muscle pain. Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities. Symptoms of this disorder can differ from person to person. They can mimic those of other conditions, including lupus and a type of cancer called lymphoma. When to see a doctor If you have a high fever, rash and achy joints, see your health care provider. Also, if you have adult Still disease and develop a cough, difficulty breathing, chest pain or any other symptoms that are not usual, call your health care provider. Request an appointment"
Benign adrenal tumors,"Symptoms depend on whether the tumor makes hormones, what hormone it makes and how much it makes. But many benign adrenal gland tumors don't cause symptoms because they don't make hormones. The most common type of benign adrenal tumor, called adenoma, comes from the adrenal cortex. This type of tumor might cause symptoms such as: Weight gain. Easy bruising. High blood pressure, also called hypertension. Diabetes. Depressed mood. Tiredness. Muscle weakness or cramping. A type of benign adrenal tumor from the medulla is called pheochromocytoma. It might cause the following symptoms: High blood pressure, also called hypertension. Fast heartbeat. Sweating. Tremors. Headache."
Adrenal cancer,"Signs and symptoms of adrenal cancer may include: Back pain. Belly pain. Losing weight without trying. Loss of appetite. Many people who have adrenal cancer develop hormone changes in the body. These changes can happen if the cancer cells make extra hormones. Most often, the adrenal cancer makes the hormone cortisol. This can cause symptoms of Cushing syndrome, including: Weight gain. Muscle weakness. Pink or purple stretch marks on the skin. Bruises that happen even with a small injury. High blood pressure. High blood sugar or diabetes. Less often, an adrenal cancer might make the sex hormones estrogen and testosterone. In females, changes in the sex hormones can cause extra facial hair, hair loss on the head and periods that aren't regular. In males, these hormone changes may cause the testicles to shrink and breast tissue to get bigger. Rarely, adrenal cancer may make the hormone aldosterone. That can cause high blood pressure and low levels of potassium in the blood. When to see a doctor Make an appointment with a healthcare professional if you have any symptoms that worry you."
Childhood schizophrenia,"Schizophrenia involves a range of problems with thinking, behavior or emotions. Signs and symptoms may vary, but usually involve delusions, hallucinations or disorganized speech, and reflect an impaired ability to function. The effect can be disabling. In most people with schizophrenia, symptoms generally start in the mid- to late 20s, though it can start later, up to the mid-30s. Schizophrenia is considered early onset when it starts before the age of 18. Onset of schizophrenia in children younger than age 13 is extremely rare. Symptoms can vary in type and severity over time, with periods of worsening and remission of symptoms. Some symptoms may always be present. Schizophrenia can be difficult to recognize in the early phases. Early signs and symptoms Schizophrenia signs and symptoms in children and teenagers are similar to those in adults, but the condition may be more difficult to recognize in this age group. Early signs and symptoms may include problems with thinking, behavior and emotions. Thinking: Problems with thinking and reasoning Bizarre ideas or speech Confusing dreams or television for reality Behavior: Withdrawal from friends and family Trouble sleeping Lack of motivation — for example, showing up as a drop in performance at school Not meeting daily expectations, such as bathing or dressing Bizarre behavior Violent or aggressive behavior or agitation Recreational drug or nicotine use Emotions: Irritability or depressed mood Lack of emotion, or emotions inappropriate for the situation Strange anxieties and fears Excessive suspicion of others Later signs and symptoms As children with schizophrenia age, more typical signs and symptoms of the disorder begin to appear. Signs and symptoms may include: Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; that certain gestures or comments are directed at you; that you have exceptional ability or fame; that another person is in love with you; or that a major catastrophe is about to occur. Delusions occur in most people with schizophrenia. Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, hallucinations have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination. Disorganized thinking. Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad. Extremely disorganized or abnormal motor behavior. This may show in several ways, from childlike silliness to unpredictable agitation. Behavior is not focused on a goal, which makes it hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement. Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion — doesn't make eye contact, doesn't change facial expressions, speaks in a monotone, or doesn't add hand or head movements that normally occur when speaking. Also, the person may avoid people and activities or lack the ability to experience pleasure. Compared with schizophrenia symptoms in adults, children and teens may be: Less likely to have delusions More likely to have visual hallucinations Symptoms may be difficult to interpret When childhood schizophrenia begins early in life, symptoms may build up gradually. Early signs and symptoms may be so vague that you can't recognize what's wrong. Some early signs can be mistaken for typical development during early teen years, or they could be symptoms of other mental or physical conditions. As time goes on, signs may become more severe and more noticeable. Eventually, your child may develop the symptoms of psychosis, including hallucinations, delusions and difficulty organizing thoughts. As thoughts become more disorganized, there's often a ""break from reality"" (psychosis) frequently requiring hospitalization and treatment with medication. When to see a doctor It can be difficult to know how to handle vague behavioral changes in your child. You may be afraid of rushing to conclusions that label your child with a mental illness. Your child's teacher or other school staff may alert you to changes in your child's behavior. Seek medical care as soon as possible if you have concerns about your child's behavior or development. Suicidal thoughts and behavior Suicidal thoughts and behavior are common among people with schizophrenia. If you have a child or teen who is in danger of attempting suicide or has made a suicide attempt, make sure someone stays with him or her. Call 911 or your local emergency number immediately. Or if you think you can do so safely, take your child to the nearest hospital emergency room. Request an appointment"
Adnexal tumors and masses,"Many adnexal tumors and masses don't cause symptoms. They're often found during a medical exam that's done for another reason. When adnexal tumors and masses cause symptoms, the symptoms may include: Pain, including pain in the pelvis or belly, painful period cramps that are worse than usual, and painful sex. A feeling of fullness or pressure in the pelvis or belly, or feeling full quickly when eating. Nausea and vomiting. Constipation or bloating. Urinating a lot or having trouble urinating. Bleeding from the vagina that is out of the ordinary. Fever. When to see a doctor Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you. If you have any of the following symptoms, get emergency medical care right away: Terrible pelvic or belly pain. Pelvic or belly pain that starts quickly. Bleeding from the vagina during the first three months of pregnancy. Request an appointment"
Adjustment disorders,"Symptoms depend on the type of adjustment disorder. These symptoms can vary from person to person. You experience more stress than would generally be expected in response to a trying event, and this stress causes a lot of problems in your life. Adjustment disorders affect how you feel and think about yourself and the world. They also may affect your actions or behavior. Some examples include: Feeling sad, hopeless or not enjoying things you used to enjoy. Crying often. Worrying, or feeling anxious, nervous, jittery or stressed out. Feeling irritable or like you can't handle anything and don't know where to start. Having trouble sleeping. Not eating enough. Having difficulty concentrating. Having difficulty with daily activities. Withdrawing from family and friends who support you socially. Not doing important things, such as going to work or paying bills. Thinking about suicide or acting on those thoughts. Symptoms of an adjustment disorder start within three months of a stressful event. These symptoms last no longer than six months after the end of the stressful event. But constant or lasting adjustment disorders can continue for more than six months. This is especially true if the stressful event is ongoing, such as being unemployed. When to see a doctor Stressors are usually temporary. You learn to cope with them over time. Symptoms of adjustment disorder usually get better when the stress eases. But sometimes the stressful event continues to be a part of your life. Or a new stressful situation comes up, and you face the same emotional struggles all over again. Talk to your doctor or a mental health professional if you continue to struggle or if you're having trouble getting through each day. You can get treatment to help you cope better with stressful events and feel better about life again. If you have concerns about your child's behavior, talk with your child's doctor. Suicidal thoughts or behavior The risk of suicide can be higher in people who have adjustment disorders. If you're thinking about suicide, contact a hotline for counseling: In the U.S., call or text 988 to reach the 988 Suicide & Crisis Lifeline . It's available 24 hours a day, every day. Or use the Lifeline Chat . Services are free and private. U.S. veterans or service members who are in crisis can call 988 and then press ""1"" for the Veterans Crisis Line . Or text 838255. Or chat online . The Suicide & Crisis Lifeline in the U.S. has a Spanish-language phone line at 1-888-628-9454 (toll-free). Request an appointment"
Frozen shoulder,"Frozen shoulder typically develops slowly in three stages. Freezing stage. Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months. Frozen stage. Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months. Thawing stage. The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months. For some people, the pain worsens at night, sometimes disrupting sleep. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Adult attention-deficit/hyperactivity disorder (ADHD),"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe. Many adults with ADHD aren't aware they have it — they just know that everyday tasks can be a challenge. Adults with ADHD may find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger. Adult ADHD symptoms may include: Impulsiveness Disorganization and problems prioritizing Poor time management skills Problems focusing on a task Trouble multitasking Excessive activity or restlessness Poor planning Low frustration tolerance Frequent mood swings Problems following through and completing tasks Hot temper Trouble coping with stress What's typical behavior and what's ADHD? Almost everyone has some symptoms similar to ADHD at some point in their lives. If your difficulties are recent or occurred only occasionally in the past, you probably don't have ADHD . ADHD is diagnosed only when symptoms are severe enough to cause ongoing problems in more than one area of your life. These persistent and disruptive symptoms can be traced back to early childhood. Diagnosis of ADHD in adults can be difficult because certain ADHD symptoms are similar to those caused by other conditions, such as anxiety or mood disorders. And many adults with ADHD also have at least one other mental health condition, such as depression or anxiety. When to see a doctor If any of the symptoms listed above continually disrupt your life, talk to your doctor about whether you might have ADHD . Different types of health care professionals may diagnose and supervise treatment for ADHD . Seek a provider who has training and experience in caring for adults with ADHD . Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Attention-deficit/hyperactivity disorder (ADHD) in children,"The main features of ADHD include not paying attention and being hyperactive and impulsive. ADHD symptoms usually start before age 12. In some children, they can be seen as early as 3 years of age. ADHD symptoms can be mild, moderate or severe. Symptoms need to be seen in two or more settings, such as at home and at school. The symptoms cause problems with development and daily life and may continue into adulthood. ADHD occurs more often in boys than in girls. Behaviors can be different in boys and girls. For example, boys may be more hyperactive and girls may tend to quietly not pay attention. There are three types of ADHD: Predominately inattentive. In this type, most symptoms fall under inattention. This means having trouble focusing and staying on a task. It also includes trouble getting and staying organized. Predominately hyperactive and impulsive. In this type, most symptoms involve being hyperactive and impulsive. Hyperactive means being too active and having too much energy. It may include disruptive behavior. Being impulsive means acting without thinking ahead about the results or effects of behavior. Combined. This type is a mix of inattentive symptoms and hyperactive and impulsive symptoms. The person meets the criteria for both predominately inattentive and predominately hyperactive and impulsive types of ADHD. Inattentive symptoms A child who shows a pattern of inattention may often: Fail to pay close attention to details or make careless mistakes in schoolwork. Have trouble staying focused in tasks or play. Seem not to listen, even when spoken to directly. Have a hard time following through on instructions and not finish schoolwork or chores. Have trouble organizing tasks and activities. Stay away from or not like tasks that need focused mental effort, such as homework. Lose items needed for tasks or activities, for example, toys, school assignments, pencils. Be easily distracted by other things, thoughts or activities rather than finishing a task. Forget to do some daily activities, such as forgetting to do chores. Hyperactive and impulsive symptoms A child who shows a pattern of hyperactive and impulsive symptoms may often: Fidget with or tap hands or feet, or squirm in the seat. Have a hard time staying seated in the classroom or in other situations. Be on the go, in constant motion. Run around or climb in situations when it's not proper. Have trouble playing or doing an activity quietly. Talk too much. Blurt out answers, interrupting the questioner. Have trouble waiting for a turn. Interrupt others' conversations, games or activities. Typical development versus ADHD Most healthy children are inattentive, hyperactive or impulsive at one time or another. It's typical for preschoolers to have short attention spans and not be able to stick with one activity for long. Even in older children and teenagers, attention span often depends on the level of interest. The same is true of hyperactivity. Young children are naturally energetic. They often are still full of energy long after they've tired their parents. And some children just naturally have a higher activity level than others do. Children should never be classified as having ADHD just because they're different from their friends or siblings. Children who have problems in school but get along well at home or with friends may likely have a concern other than ADHD. The same is true of children who are hyperactive or inattentive at home but whose schoolwork and friendships aren't affected. When to see a doctor If you're concerned that your child shows signs of ADHD, see your pediatrician or family healthcare professional. Your healthcare professional can do a medical evaluation to check for other causes of your child's symptoms. Then if needed, your child may be referred to a specialist, such as a developmental-behavioral pediatrician, psychologist, psychiatrist or pediatric neurologist. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Adenomyosis,
Mesenteric lymphadenitis,"Possible symptoms of mesenteric lymphadenitis include: Pain in the stomach area, often on the lower right side, but the pain can be more spread out. General tenderness of the stomach area. Fever. Enlarged mesenteric lymph nodes. Depending on what's causing the condition, symptoms also might include: Diarrhea. Nausea and vomiting. When to see a doctor Pain in the stomach area is common in children and teens. So it can be hard to know when to seek medical advice. Call a healthcare professional right away for a child who has: Sudden, severe pain in the stomach area. Stomach area pain with fever. Stomach area pain with diarrhea or vomiting. Tenderness to touch of the stomach area. Bloody or maroon-colored stool. Also, call a healthcare provider for a child who has pain in the stomach area that doesn't get better in a short time and who also: Has a change in bowel habits. Has a loss of appetite. Is not able to sleep."
Addison's disease,"Addison's disease symptoms usually happen slowly, often over months. The disease may happen so slowly that people who have it might ignore the symptoms at first. Physical stress such as an illness or injury can make symptoms get worse fast. Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including: Extreme tiredness, also called fatigue. Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension. Sweating due to low blood sugar, also called hypoglycemia. Upset stomach, diarrhea or vomiting. Pain in the stomach area, also called the abdomen. Muscle cramps, weakness, widespread pain or joint pain. Other early symptoms can cause changes in how you look, such as: Body hair loss. Areas of darkened skin, especially on scars and moles. These changes may be harder to see on Black or brown skin. Weight loss due to less hunger. Early Addison's disease symptoms also can affect emotions, mental health and desires. These symptoms include: Depression. Irritable mood. Lower sex drive in women. Salt craving. Emergency symptoms due to adrenal crisis Sometimes the symptoms of Addison's disease become worse fast. If this happens, it's an emergency known as an adrenal crisis. You also may hear it called an addisonian crisis or acute adrenal failure. Call 911 or your local emergency number if you have Addison's disease with any the following symptoms: Serious weakness. Sudden, terrible pain in the lower back, stomach area or legs. Severe upset stomach, vomiting or diarrhea. Extreme loss of body water, also called dehydration. Fever. Confusion or much less awareness of the surroundings. Loss of consciousness. Low blood pressure and fainting. Without fast treatment, an adrenal crisis can lead to death. When to see a doctor See a healthcare professional if you have common symptoms of Addison's disease, such as: Long-lasting fatigue. Muscle weakness. Loss of appetite. Darkened areas of skin. Weight loss that doesn't happen on purpose. Serious upset stomach, vomiting or stomach pain. Lightheadedness or fainting with standing. Salt cravings. Get emergency care right away if you have any symptoms of an adrenal crisis. More Information Salt craving: A symptom of Addison's disease? Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Nicotine dependence,"For some people, using any amount of tobacco can quickly lead to nicotine dependence. Signs that you may be addicted include: You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop. You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea. You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop. You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations. When to see a doctor You're not alone if you've tried to stop smoking but haven't been able to stop for good. Most smokers make many attempts to stop smoking before they achieve stable, long-term abstinence from smoking. You're more likely to stop for good if you follow a treatment plan that addresses both the physical and the behavioral aspects of nicotine dependence. Using medications and working with a counselor specially trained to help people stop smoking (a tobacco treatment specialist) will significantly boost your chances of success. Ask your health care team to help you develop a treatment plan that works for you or to advise you on where to get help to stop smoking. Request an appointment"
Compulsive gambling,
